Player,Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%,PTS,AST,TRB,STL,BLK,FG,FGA,MP,G,3P,3PA,2P,2PA
Mo Mahoney,1953,2.0,0.16666666666666666,1.1666666666666667,,,0.4,0.4,0.4,,0.8,12,1,7.0,,,4,10,34.0,6,,,4,10
Al Masino,1953,5.5,2.2222222222222223,2.4583333333333335,,,0.335,0.335,0.335,,0.627,396,160,177.0,,,134,400,1773.0,72,,,134,400
Jack McCloskey,1953,6.0,1.0,3.0,,,0.333,0.333,0.333,,,6,1,3.0,,,3,9,16.0,1,,,3,9
Bucky McConnell,1953,4.857142857142857,2.9285714285714284,2.4285714285714284,,,0.38,0.38,0.38,,0.483,68,41,34.0,,,27,71,297.0,14,,,27,71
George McLeod,1953,1.2,0.4,2.1,,,0.125,0.125,0.125,,0.533,12,4,21.0,,,2,16,85.0,10,,,2,16
Jack McMahon,1953,7.242857142857143,2.657142857142857,2.6142857142857143,,,0.33,0.33,0.33,,0.657,507,186,183.0,,,176,534,1665.0,70,,,176,534
Monk Meineke,1953,10.661764705882353,2.176470588235294,6.852941176470588,,,0.381,0.381,0.381,,0.783,725,148,466.0,,,240,630,2250.0,68,,,240,630
Eddie Miller,1953,10.471428571428572,1.6428571428571428,9.557142857142857,,,0.35,0.35,0.35,,0.652,733,115,669.0,,,273,781,2018.0,70,,,273,781
Bill Mlkvy,1953,5.838709677419355,2.0,3.2580645161290325,,,0.305,0.305,0.305,,0.646,181,62,101.0,,,75,246,608.0,31,,,75,246
Jim Mooney,1953,7.5,1.9444444444444444,3.888888888888889,,,0.365,0.365,0.365,,0.675,135,35,70.0,,,54,148,529.0,18,,,54,148
Bob Naber,1953,0.25,0.25,1.25,,,0.0,0.0,0.0,,0.5,1,1,5.0,,,0,4,11.0,4,,,0,4
John O'Boyle,1953,4.2,1.0,2.0,,,0.308,0.308,0.308,,0.714,21,5,10.0,,,8,26,97.0,5,,,8,26
Mike O'Neill,1953,3.0,0.75,2.25,,,0.235,0.235,0.235,,1.0,12,3,9.0,,,4,17,50.0,4,,,4,17
Claude Overton,1953,3.8666666666666667,1.0,1.6666666666666667,,,0.253,0.253,0.253,,0.667,58,15,25.0,,,19,75,182.0,15,,,19,75
Ralph Polson,1953,3.8979591836734695,0.4897959183673469,4.3061224489795915,,,0.363,0.363,0.363,,0.635,191,24,211.0,,,65,179,810.0,49,,,65,179
Bob Priddy,1953,2.25,0.4375,2.25,,,0.368,0.368,0.368,,0.571,36,7,36.0,,,14,38,149.0,16,,,14,38
Moe Radovich,1953,3.5,2.0,0.25,,,0.385,0.385,0.385,,1.0,14,8,1.0,,,5,13,33.0,4,,,5,13
Sherwin Raiken,1953,1.5,1.0,1.3333333333333333,,,0.143,0.143,0.143,,0.375,9,6,8.0,,,3,21,63.0,6,,,3,21
Gene Rhodes,1953,5.184615384615385,1.4,1.5076923076923077,,,0.319,0.319,0.319,,0.704,337,91,98.0,,,109,342,1162.0,65,,,109,342
Dick Surhoff,1953,1.7307692307692308,0.34615384615384615,0.9615384615384616,,,0.213,0.213,0.213,,0.633,45,9,25.0,,,13,61,187.0,26,,,13,61
Mark Workman,1953,5.076923076923077,0.5692307692307692,2.9692307692307693,,,0.319,0.319,0.319,,0.619,330,37,193.0,,,130,408,1030.0,65,,,130,408
Zeke Zawoluk,1953,4.560975609756097,0.7560975609756098,3.5609756097560976,,,0.367,0.367,0.367,,0.664,187,31,146.0,,,55,150,622.0,41,,,55,150
Don Ackerman,1954,1.5357142857142858,0.8214285714285714,0.5357142857142857,,,0.222,0.222,0.222,,0.536,43,23,15.0,,,14,63,220.0,28,,,14,63
Don Asmonga,1954,0.7142857142857143,0.7142857142857143,0.14285714285714285,,,0.133,0.133,0.133,,1.0,5,5,1.0,,,2,15,46.0,7,,,2,15
Ernie Barrett,1954,2.2711864406779663,0.9322033898305084,1.694915254237288,,,0.314,0.314,0.314,,0.56,134,55,100.0,,,60,191,641.0,59,,,60,191
Ernie Beck,1954,7.466666666666667,2.2666666666666666,3.3333333333333335,,,0.275,0.275,0.275,,0.791,112,34,50.0,,,39,142,422.0,15,,,39,142
Irv Bemoras,1954,7.3768115942028984,1.144927536231884,3.101449275362319,,,0.366,0.366,0.366,,0.668,509,79,214.0,,,185,505,1496.0,69,,,185,505
Bill Bolger,1954,2.8,0.55,1.8,,,0.407,0.407,0.407,,0.615,56,11,36.0,,,24,59,202.0,20,,,24,59
Walt Davis,1954,5.867647058823529,0.8529411764705882,6.397058823529412,,,0.367,0.367,0.367,,0.644,399,58,435.0,,,167,455,1568.0,68,,,167,455
Gene Dyker,1954,1.4545454545454546,0.45454545454545453,1.4545454545454546,,,0.231,0.231,0.231,,0.5,16,5,16.0,,,6,26,91.0,11,,,6,26
Ed Earle,1954,2.0,0.0,1.0,,,0.5,0.5,0.5,,0.5,4,0,2.0,,,1,2,12.0,2,,,1,2
Ray Felix,1954,17.625,1.1388888888888888,13.305555555555555,,,0.417,0.417,0.417,,0.638,1269,82,958.0,,,410,983,2672.0,72,,,410,983
Jim Fritsche,1954,4.132352941176471,1.0735294117647058,3.1911764705882355,,,0.306,0.306,0.306,,0.721,281,73,217.0,,,116,379,1221.0,68,,,116,379
Jack George,1954,9.507042253521126,4.394366197183099,5.436619718309859,,,0.352,0.352,0.352,,0.59,675,312,386.0,,,259,736,2648.0,71,,,259,736
