Player,Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%,PTS,AST,TRB,STL,BLK,FG,FGA,MP,G,3P,3PA,2P,2PA
Carl Kilpatrick,1980,1.5,0.0,2.0,0.0,0.0,0.5,0.5,0.5,,0.5,3,0,4.0,0.0,0.0,1,2,6.0,2,0.0,0.0,1,2
Reggie King,1980,8.207317073170731,1.2926829268292683,6.902439024390244,0.8414634146341463,0.3780487804878049,0.515,0.515,0.516,0.0,0.726,673,106,566.0,69.0,31.0,257,499,2052.0,82,0.0,1.0,257,498
Arvid Kramer,1980,2.0,0.375,1.5,0.0,0.625,0.318,0.318,0.318,,1.0,16,3,12.0,0.0,5.0,7,22,45.0,8,0.0,0.0,7,22
Allen Leavell,1980,10.948051948051948,5.415584415584416,2.3896103896103895,1.6493506493506493,0.36363636363636365,0.503,0.505,0.513,0.158,0.814,843,417,184.0,127.0,28.0,330,656,2123.0,77,3.0,19.0,327,637
Ollie Mack,1980,4.68,1.06,1.42,0.48,0.06,0.492,0.492,0.505,0.0,0.745,234,53,71.0,24.0,3.0,98,199,681.0,50,0.0,5.0,98,194
Steve Malovic,1980,2.051282051282051,0.6666666666666666,2.2051282051282053,0.20512820512820512,0.15384615384615385,0.463,0.463,0.463,,0.667,80,26,86.0,8.0,6.0,31,67,445.0,39,0.0,0.0,31,67
Paul Mokeski,1980,2.4166666666666665,0.16666666666666666,2.4166666666666665,0.08333333333333333,0.5,0.333,0.333,0.333,,0.778,29,2,29.0,1.0,6.0,11,33,113.0,12,0.0,0.0,11,33
Sidney Moncrief,1980,8.493506493506494,1.7272727272727273,4.3896103896103895,0.935064935064935,0.2077922077922078,0.468,0.468,0.469,0.0,0.795,654,133,338.0,72.0,16.0,211,451,1557.0,77,0.0,1.0,211,450
Calvin Natt,1980,19.91025641025641,2.1666666666666665,8.85897435897436,1.3076923076923077,0.4358974358974359,0.479,0.48,0.48,0.333,0.73,1553,169,691.0,102.0,34.0,622,1298,2857.0,78,3.0,9.0,619,1289
Sylvester Norris,1980,2.3529411764705883,0.35294117647058826,2.5294117647058822,0.17647058823529413,0.7058823529411765,0.419,0.419,0.419,,0.667,40,6,43.0,3.0,12.0,18,43,189.0,17,0.0,0.0,18,43
Wiley Peck,1980,3.4615384615384617,0.6346153846153846,3.519230769230769,0.3269230769230769,0.4423076923076923,0.432,0.432,0.437,0.0,0.618,180,33,183.0,17.0,23.0,73,169,628.0,52,0.0,2.0,73,167
Sam Pellom,1980,2.477272727272727,0.4090909090909091,2.090909090909091,0.2727272727272727,0.2727272727272727,0.407,0.407,0.407,,0.7,109,18,92.0,12.0,12.0,44,108,373.0,44,0.0,0.0,44,108
Clint Richardson,1980,6.673076923076923,2.0576923076923075,2.3653846153846154,0.46153846153846156,0.28846153846153844,0.457,0.458,0.458,0.333,0.622,347,107,123.0,24.0,15.0,159,348,988.0,52,1.0,3.0,158,345
Cliff Robinson,1980,13.585714285714285,1.4,7.228571428571429,0.8714285714285714,0.4857142857142857,0.469,0.47,0.47,0.25,0.694,951,98,506.0,61.0,34.0,391,833,1661.0,70,1.0,4.0,390,829
Jim Spanarkel,1980,4.95,1.275,1.35,0.3,0.15,0.471,0.471,0.477,0.0,0.831,198,51,54.0,12.0,6.0,72,153,442.0,40,0.0,2.0,72,151
Bernard Toone,1980,2.391304347826087,0.5217391304347826,1.4782608695652173,0.17391304347826086,0.21739130434782608,0.359,0.367,0.386,0.143,0.8,55,12,34.0,4.0,5.0,23,64,124.0,23,1.0,7.0,22,57
Duck Williams,1980,6.571428571428571,2.3766233766233764,1.3766233766233766,1.2987012987012987,0.14285714285714285,0.447,0.447,0.458,0.0,0.7,506,183,106.0,100.0,11.0,232,519,1794.0,77,0.0,12.0,232,507
Sly Williams,1980,4.666666666666667,0.631578947368421,2.1228070175438596,0.3333333333333333,0.14035087719298245,0.39,0.39,0.395,0.0,0.644,266,36,121.0,19.0,8.0,104,267,556.0,57,0.0,4.0,104,263
Bubba Wilson,1980,1.0625,0.75,1.0,0.125,0.0,0.28,0.28,0.28,,0.5,17,12,16.0,2.0,0.0,7,25,143.0,16,0.0,0.0,7,25
Tony Zeno,1980,1.75,0.125,1.75,0.5,0.375,0.286,0.286,0.286,,1.0,14,1,14.0,4.0,3.0,6,21,59.0,8,0.0,0.0,6,21
Darrell Allums,1981,2.6818181818181817,1.1363636363636365,2.9545454545454546,0.22727272727272727,0.36363636363636365,0.343,0.343,0.348,0.0,0.591,59,25,65.0,5.0,8.0,23,67,276.0,22,0.0,1.0,23,66
Norman Black,1981,2.6666666666666665,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.3,0.3,0.3,,0.25,8,2,2.0,1.0,0.0,3,10,28.0,3,0.0,0.0,3,10
Dave Britton,1981,2.0,1.5,1.0,0.5,0.0,0.667,0.667,0.667,,,4,3,2.0,1.0,0.0,2,3,9.0,2,0.0,0.0,2,3
Michael Brooks,1981,14.658536585365853,2.5365853658536586,5.390243902439025,1.2073170731707317,0.3780487804878049,0.479,0.479,0.482,0.0,0.706,1202,208,442.0,99.0,31.0,488,1018,2479.0,82,0.0,6.0,488,1012
Lewis Brown,1981,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.4,2,0,2.0,0.0,0.0,0,3,5.0,2,0.0,0.0,0,3
Rickey Brown,1981,4.044444444444444,0.4666666666666667,3.688888888888889,0.2,0.3111111111111111,0.512,0.512,0.512,,0.762,182,21,166.0,9.0,14.0,83,162,580.0,45,0.0,0.0,83,162
Joe Barry,1981,18.865853658536587,1.4268292682926829,9.25609756097561,0.6097560975609756,1.475609756097561,0.491,0.491,0.492,0.0,0.716,1547,117,759.0,50.0,121.0,616,1254,2919.0,82,0.0,2.0,616,1252
Butch Carter,1981,5.574074074074074,0.9629629629629629,1.2037037037037037,0.42592592592592593,0.018518518518518517,0.462,0.468,0.468,0.3,0.737,301,52,65.0,23.0,1.0,114,247,672.0,54,3.0,10.0,111,237
Reggie Carter,1981,2.816666666666667,1.2666666666666666,1.15,0.36666666666666664,0.03333333333333333,0.33,0.33,0.335,0.0,0.739,169,76,69.0,22.0,2.0,59,179,536.0,60,0.0,3.0,59,176
Art Collins,1981,3.2413793103448274,0.8620689655172413,1.4137931034482758,0.3793103448275862,0.034482758620689655,0.354,0.354,0.361,0.0,0.667,94,25,41.0,11.0,1.0,35,99,395.0,29,0.0,2.0,35,97
Don Collins,1981,11.493827160493828,2.345679012345679,3.308641975308642,1.2839506172839505,0.30864197530864196,0.444,0.444,0.447,0.0,0.776,931,190,268.0,104.0,25.0,360,811,1845.0,81,0.0,6.0,360,805
Darwin Cook,1981,11.160493827160494,3.6666666666666665,2.9135802469135803,1.7407407407407407,0.4444444444444444,0.468,0.471,0.475,0.24,0.733,904,297,236.0,141.0,36.0,383,819,1980.0,81,6.0,25.0,377,794
Earl Cureton,1981,4.211538461538462,0.4807692307692308,2.980769230769231,0.38461538461538464,0.4423076923076923,0.454,0.454,0.456,0.0,0.516,219,25,155.0,20.0,23.0,93,205,528.0,52,0.0,1.0,93,204
Monti Davis,1981,1.5,0.0,2.0,0.0,0.5,0.2,0.2,0.2,,0.2,3,0,4.0,0.0,1.0,1,5,10.0,2,0.0,0.0,1,5
James Donaldson,1981,5.279411764705882,0.6176470588235294,4.544117647058823,0.11764705882352941,1.088235294117647,0.542,0.542,0.542,,0.594,359,42,309.0,8.0,74.0,129,238,980.0,68,0.0,0.0,129,238
Larry Drew,1981,6.631578947368421,3.276315789473684,1.5789473684210527,1.1578947368421053,0.09210526315789473,0.407,0.411,0.413,0.235,0.797,504,249,120.0,88.0,7.0,197,484,1581.0,76,4.0,17.0,193,467
Ralph Drollinger,1981,2.5,2.3333333333333335,3.1666666666666665,0.16666666666666666,0.3333333333333333,0.5,0.5,0.5,,0.25,15,14,19.0,1.0,2.0,7,14,67.0,6,0.0,0.0,7,14
John Duren,1981,1.775,1.35,0.875,0.45,0.05,0.327,0.327,0.33,0.0,0.556,71,54,35.0,18.0,2.0,33,101,458.0,40,0.0,1.0,33,100
Tony Fuller,1981,4.0,1.8666666666666667,2.8,0.6666666666666666,0.06666666666666667,0.364,0.364,0.369,0.0,0.75,60,28,42.0,10.0,1.0,24,66,248.0,15,0.0,1.0,24,65
Calvin Garrett,1981,6.1,1.8857142857142857,3.7714285714285714,0.7142857142857143,0.14285714285714285,0.453,0.454,0.454,0.333,0.806,427,132,264.0,50.0,10.0,188,415,1638.0,70,1.0,3.0,187,412
Mike Gminski,1981,13.160714285714286,1.2857142857142858,7.482142857142857,0.9642857142857143,1.7857142857142858,0.423,0.423,0.424,0.0,0.767,737,72,419.0,54.0,100.0,291,688,1579.0,56,0.0,1.0,291,687
Darrell Griffith,1981,20.62962962962963,2.3950617283950617,3.5555555555555554,1.308641975308642,0.49382716049382713,0.464,0.467,0.473,0.192,0.716,1671,194,288.0,106.0,40.0,716,1544,2867.0,81,10.0,52.0,706,1492
Bill Hanzlik,1981,5.351351351351352,1.5,2.0675675675675675,0.7837837837837838,0.2702702702702703,0.478,0.479,0.482,0.2,0.793,396,111,153.0,58.0,20.0,138,289,1259.0,74,1.0,5.0,137,284
Alan Hardy,1981,2.3181818181818183,0.13636363636363635,0.8636363636363636,0.045454545454545456,0.4090909090909091,0.373,0.373,0.373,,0.7,51,3,19.0,1.0,9.0,22,59,111.0,22,0.0,0.0,22,59
Mike Harper,1981,2.709090909090909,0.3090909090909091,1.690909090909091,0.41818181818181815,0.36363636363636365,0.412,0.412,0.421,0.0,0.435,149,17,93.0,23.0,20.0,56,136,461.0,55,0.0,3.0,56,133
Cedrick Hordges,1981,8.411764705882353,1.5294117647058822,6.735294117647059,0.4852941176470588,0.27941176470588236,0.46,0.46,0.463,0.0,0.699,572,104,458.0,33.0,19.0,221,480,1599.0,68,0.0,3.0,221,477
Tony Jackson,1981,1.0,1.0,1.0,1.0,0.0,0.333,0.333,0.333,,,2,2,2.0,2.0,0.0,1,3,14.0,2,0.0,0.0,1,3
Lee Johnson,1981,1.4166666666666667,0.08333333333333333,1.8333333333333333,0.0,0.4166666666666667,0.28,0.28,0.28,,0.6,17,1,22.0,0.0,5.0,7,25,90.0,12,0.0,0.0,7,25
Reggie Johnson,1981,10.227848101265822,0.9873417721518988,4.531645569620253,0.569620253164557,0.6075949367088608,0.499,0.499,0.499,0.0,0.663,808,78,358.0,45.0,48.0,340,682,1716.0,79,0.0,1.0,340,681
Edgar Jones,1981,8.733333333333333,0.7166666666666667,4.383333333333334,0.6,1.35,0.529,0.529,0.535,0.0,0.67,524,43,263.0,36.0,81.0,189,357,950.0,60,0.0,4.0,189,353
Walter Jordan,1981,2.2666666666666666,0.36666666666666664,1.4,0.36666666666666664,0.16666666666666666,0.387,0.387,0.387,,0.588,68,11,42.0,11.0,5.0,29,75,207.0,30,0.0,0.0,29,75
Clarence Kea,1981,7.3125,0.3125,4.1875,0.375,0.0625,0.457,0.457,0.463,0.0,0.694,117,5,67.0,6.0,1.0,37,81,199.0,16,0.0,1.0,37,80
Chad Kinch,1981,2.8780487804878048,1.0975609756097562,0.8048780487804879,0.2682926829268293,0.14634146341463414,0.369,0.369,0.369,,0.778,118,45,33.0,11.0,6.0,52,141,353.0,41,0.0,0.0,52,141
Wayne Kreklow,1981,1.2,0.36,0.48,0.08,0.04,0.234,0.245,0.233,0.25,0.7,30,9,12.0,2.0,1.0,11,47,100.0,25,1.0,4.0,10,43
Bill Laimbeer,1981,9.765432098765432,2.6666666666666665,8.555555555555555,0.691358024691358,0.9629629629629629,0.503,0.503,0.503,,0.765,791,216,693.0,56.0,78.0,337,670,2460.0,81,0.0,0.0,337,670
Edmund Lawrence,1981,4.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,0.625,0.625,0.625,,0.5,12,1,4.0,1.0,0.0,5,8,19.0,3,0.0,0.0,5,8
Ronnie Lester,1981,3.75,0.875,0.75,0.25,0.0,0.417,0.417,0.417,,0.909,30,7,6.0,2.0,0.0,10,24,83.0,8,0.0,0.0,10,24
Kyle Macy,1981,8.085365853658537,1.951219512195122,1.6097560975609757,0.926829268292683,0.06097560975609756,0.511,0.523,0.541,0.235,0.899,663,160,132.0,76.0,5.0,272,532,1469.0,82,12.0,51.0,260,481
Rick Mahorn,1981,4.788461538461538,0.4807692307692308,4.134615384615385,0.40384615384615385,0.8461538461538461,0.507,0.507,0.507,,0.675,249,25,215.0,21.0,44.0,111,219,696.0,52,0.0,0.0,111,219
Wes Matthews,1981,12.367088607594937,5.2025316455696204,1.759493670886076,1.3544303797468353,0.21518987341772153,0.494,0.497,0.501,0.238,0.802,977,411,139.0,107.0,17.0,385,779,2266.0,79,5.0,21.0,380,758
Bill Mayfield,1981,2.4285714285714284,0.14285714285714285,1.2857142857142858,0.0,0.14285714285714285,0.444,0.444,0.444,,0.5,17,1,9.0,0.0,1.0,8,18,54.0,7,0.0,0.0,8,18
Keith McCord,1981,2.0,0.5,1.0,0.0,0.0,0.5,0.5,0.5,,,4,1,2.0,0.0,0.0,2,4,9.0,2,0.0,0.0,2,4
Kevin McHale*,1981,9.975609756097562,0.6707317073170732,4.378048780487805,0.32926829268292684,1.8414634146341464,0.533,0.533,0.535,0.0,0.679,818,55,359.0,27.0,151.0,355,666,1645.0,82,0.0,2.0,355,664
Dick Miller,1981,1.0,0.625,0.875,0.5,0.0,0.444,0.444,0.5,0.0,,8,5,7.0,4.0,0.0,4,9,53.0,8,0.0,1.0,4,8
Johnny Moore,1981,7.365853658536586,4.548780487804878,2.3902439024390243,1.4634146341463414,0.2682926829268293,0.479,0.48,0.495,0.053,0.61,604,373,196.0,120.0,22.0,249,520,1578.0,82,1.0,19.0,248,501
Lowes Moore,1981,7.0,3.211267605633803,2.3661971830985915,0.8591549295774648,0.23943661971830985,0.444,0.448,0.461,0.148,0.75,497,228,168.0,61.0,17.0,212,478,1406.0,71,4.0,27.0,208,451
Kenny Natt,1981,3.1052631578947367,0.5263157894736842,0.7894736842105263,0.2631578947368421,0.05263157894736842,0.325,0.338,0.333,0.25,0.636,59,10,15.0,5.0,1.0,25,77,149.0,19,2.0,8.0,23,69
Carl Nicks,1981,6.1940298507462686,2.2238805970149254,1.6417910447761195,0.8955223880597015,0.04477611940298507,0.479,0.479,0.485,0.0,0.563,415,149,110.0,60.0,3.0,172,359,1109.0,67,0.0,4.0,172,355
Mike Niles,1981,2.6136363636363638,0.3409090909090909,1.3181818181818181,0.18181818181818182,0.022727272727272728,0.348,0.355,0.343,0.5,0.459,115,15,58.0,8.0,1.0,48,138,231.0,44,2.0,4.0,46,134
Mike O'Koren,1981,11.012658227848101,3.189873417721519,6.050632911392405,1.0886075949367089,0.34177215189873417,0.486,0.489,0.491,0.278,0.637,870,252,478.0,86.0,27.0,365,751,2473.0,79,5.0,18.0,360,733
Jawann Oldham,1981,1.0,0.0,1.25,0.0,0.5,0.333,0.333,0.333,,,4,0,5.0,0.0,2.0,2,6,21.0,4,0.0,0.0,2,6
Louis Orr,1981,10.475609756097562,1.6097560975609757,4.402439024390244,0.6707317073170732,0.3048780487804878,0.491,0.491,0.495,0.0,0.807,859,132,361.0,55.0,25.0,348,709,1787.0,82,0.0,6.0,348,703
Myles Patrick,1981,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.0,0.0,0.4,0.4,0.4,,0.5,5,1,2.0,0.0,0.0,2,5,9.0,3,0.0,0.0,2,5
Tony Price,1981,0.8,0.6,0.0,0.4,0.2,0.286,0.286,0.286,,,4,3,0.0,2.0,1.0,2,7,29.0,5,0.0,0.0,2,7
Wally Rank,1981,2.2,0.68,1.2,0.28,0.04,0.368,0.368,0.368,,0.464,55,17,30.0,7.0,1.0,21,57,153.0,25,0.0,0.0,21,57
Kelvin Ransey,1981,15.2125,6.9375,2.4375,1.1,0.1125,0.452,0.453,0.462,0.097,0.749,1217,555,195.0,88.0,9.0,525,1162,2431.0,80,3.0,31.0,522,1131
James Ray,1981,2.0555555555555554,0.6111111111111112,2.0555555555555554,0.2222222222222222,0.2222222222222222,0.306,0.306,0.313,0.0,0.7,37,11,37.0,4.0,4.0,15,49,148.0,18,0.0,1.0,15,48
Billy Reid,1981,3.2203389830508473,1.2033898305084745,1.0169491525423728,0.559322033898305,0.0847457627118644,0.454,0.454,0.467,0.0,0.564,190,71,60.0,33.0,5.0,84,185,597.0,59,0.0,5.0,84,180
Wayne Robinson,1981,7.938271604938271,1.382716049382716,3.6296296296296298,0.5679012345679012,0.2962962962962963,0.46,0.46,0.465,0.0,0.729,643,112,294.0,46.0,24.0,234,509,1592.0,81,0.0,6.0,234,503
Lorenzo Romar,1981,4.132075471698113,2.5660377358490565,1.0566037735849056,0.5094339622641509,0.05660377358490566,0.412,0.417,0.415,0.333,0.683,219,136,56.0,27.0,3.0,87,211,726.0,53,2.0,6.0,85,205
DeWayne Scales,1981,4.886363636363637,0.22727272727272727,3.0,0.2727272727272727,0.09090909090909091,0.418,0.42,0.425,0.167,0.667,215,10,132.0,12.0,4.0,94,225,484.0,44,1.0,6.0,93,219
Craig Shelton,1981,4.2727272727272725,0.4909090909090909,2.5090909090909093,0.32727272727272727,0.09090909090909091,0.457,0.457,0.459,0.0,0.603,235,27,138.0,18.0,5.0,100,219,586.0,55,0.0,1.0,100,218
Jerry Sichting,1981,1.9787234042553192,1.4893617021276595,0.9148936170212766,0.48936170212765956,0.02127659574468085,0.358,0.358,0.378,0.0,0.781,93,70,43.0,23.0,1.0,34,95,450.0,47,0.0,5.0,34,90
Larry Smith,1981,9.573170731707316,1.1341463414634145,12.121951219512194,0.8536585365853658,0.7682926829268293,0.512,0.512,0.512,,0.588,785,93,994.0,70.0,63.0,304,594,2578.0,82,0.0,0.0,304,594
Rory Sparrow,1981,3.7333333333333334,2.1333333333333333,1.2,0.8666666666666667,0.2,0.349,0.349,0.349,,0.75,56,32,18.0,13.0,3.0,22,63,212.0,15,0.0,0.0,22,63
John Stroud,1981,2.7777777777777777,1.0,1.4444444444444444,0.1111111111111111,0.0,0.324,0.324,0.324,,0.75,25,9,13.0,1.0,0.0,11,34,88.0,9,0.0,0.0,11,34
Carlos Terry,1981,7.230769230769231,2.6923076923076925,4.461538461538462,1.0384615384615385,0.5,0.5,0.5,0.519,0.0,0.667,188,70,116.0,27.0,13.0,80,160,504.0,26,0.0,6.0,80,154
Andrew Toney,1981,12.906666666666666,3.64,1.9066666666666667,0.7866666666666666,0.13333333333333333,0.495,0.501,0.502,0.31,0.712,968,273,143.0,59.0,10.0,399,806,1768.0,75,9.0,29.0,390,777
Ronnie Valentine,1981,3.5,0.2916666666666667,1.25,0.2916666666666667,0.16666666666666666,0.378,0.383,0.375,0.5,0.474,84,7,30.0,7.0,4.0,37,98,123.0,24,1.0,2.0,36,96
Kiki Vandeweghe,1981,11.529411764705882,1.8431372549019607,5.294117647058823,0.5686274509803921,0.47058823529411764,0.426,0.426,0.432,0.0,0.818,588,94,270.0,29.0,24.0,229,537,1376.0,51,0.0,7.0,229,530
Brett Vroman,1981,3.090909090909091,0.8181818181818182,2.272727272727273,0.45454545454545453,0.45454545454545453,0.37,0.37,0.385,0.0,0.737,34,9,25.0,5.0,5.0,10,27,93.0,11,0.0,1.0,10,26
Hawkeye Whitney,1981,7.446808510638298,1.446808510638298,2.25531914893617,1.0,0.1276595744680851,0.487,0.49,0.49,0.333,0.769,350,68,106.0,47.0,6.0,149,306,782.0,47,2.0,6.0,147,300
Michael Wiley,1981,5.696969696969697,0.3333333333333333,1.9393939393939394,0.24242424242424243,0.18181818181818182,0.551,0.551,0.559,0.0,0.75,188,11,64.0,8.0,6.0,76,138,271.0,33,0.0,2.0,76,136
James Wilkes,1981,4.145833333333333,0.625,2.0,0.5208333333333334,0.25,0.462,0.462,0.464,0.0,0.69,199,30,96.0,25.0,12.0,85,184,540.0,48,0.0,1.0,85,183
Jeff Wilkins,1981,4.660714285714286,0.7142857142857143,4.892857142857143,0.5714285714285714,0.8214285714285714,0.45,0.45,0.45,,0.675,261,40,274.0,32.0,46.0,117,260,1058.0,56,0.0,0.0,117,260
Mike Woodson,1981,4.691358024691358,0.9259259259259259,1.1975308641975309,0.4444444444444444,0.14814814814814814,0.442,0.444,0.446,0.2,0.766,380,75,97.0,36.0,12.0,165,373,949.0,81,1.0,5.0,164,368
Sam Worthen,1981,3.671875,1.796875,1.796875,0.890625,0.09375,0.495,0.495,0.505,0.0,0.75,235,115,115.0,57.0,6.0,95,192,945.0,64,0.0,4.0,95,188
Mark Aguirre,1982,18.725490196078432,3.215686274509804,4.882352941176471,0.7254901960784313,0.43137254901960786,0.465,0.48,0.475,0.352,0.68,955,164,249.0,37.0,22.0,381,820,1468.0,51,25.0,71.0,356,749
Danny Ainge,1982,4.132075471698113,1.6415094339622642,1.0566037735849056,0.6981132075471698,0.05660377358490566,0.357,0.369,0.363,0.294,0.862,219,87,56.0,37.0,3.0,79,221,564.0,53,5.0,17.0,74,204
Carl Bailey,1982,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,2,0,0.0,0.0,0.0,1,1,7.0,1,0.0,0.0,1,1
Gene Banks,1982,9.5875,1.8375,5.1375,0.6875,0.2125,0.477,0.477,0.483,0.0,0.684,767,147,411.0,55.0,17.0,311,652,1700.0,80,0.0,8.0,311,644
Rolando Blackman,1982,13.304878048780488,1.2804878048780488,3.097560975609756,0.5609756097560976,0.36585365853658536,0.513,0.514,0.515,0.25,0.768,1091,105,254.0,46.0,30.0,439,855,1979.0,82,1.0,4.0,438,851
Ray Blume,1982,4.612244897959184,1.3877551020408163,0.8367346938775511,0.46938775510204084,0.04081632653061224,0.459,0.468,0.48,0.222,0.643,226,68,41.0,23.0,2.0,102,222,546.0,49,4.0,18.0,98,204
Alex Bradley,1982,3.5128205128205128,0.28205128205128205,1.6666666666666667,0.3076923076923077,0.1282051282051282,0.524,0.524,0.529,0.0,0.604,137,11,65.0,12.0,5.0,54,103,331.0,39,0.0,1.0,54,102
Charles Bradley,1982,2.980392156862745,0.43137254901960786,0.7450980392156863,0.27450980392156865,0.11764705882352941,0.451,0.451,0.455,0.0,0.677,152,22,38.0,14.0,6.0,55,122,339.0,51,0.0,1.0,55,121
Brad Branson,1982,5.3,0.6,3.3,0.5,0.4,0.404,0.404,0.404,,0.917,53,6,33.0,5.0,4.0,21,52,176.0,10,0.0,0.0,21,52
Jim Brogan,1982,6.349206349206349,2.4761904761904763,1.9047619047619047,0.7777777777777778,0.20634920634920634,0.453,0.466,0.47,0.281,0.726,400,156,120.0,49.0,13.0,165,364,1027.0,63,9.0,32.0,156,332
Roger Burkman,1982,0.8333333333333334,0.8333333333333334,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.833,5,5,6.0,6.0,2.0,0,4,30.0,6,0.0,1.0,0,3
David Burns,1982,2.5555555555555554,1.6666666666666667,0.5555555555555556,0.3333333333333333,0.0,0.438,0.438,0.438,,0.6,23,15,5.0,3.0,0.0,7,16,87.0,9,0.0,0.0,7,16
Bobby Cattage,1982,3.061224489795918,0.14285714285714285,1.489795918367347,0.14285714285714285,0.0,0.444,0.444,0.451,0.0,0.732,150,7,73.0,7.0,0.0,60,135,337.0,49,0.0,2.0,60,133
Tom Chambers,1982,17.185185185185187,1.8024691358024691,6.925925925925926,0.7160493827160493,0.5679012345679012,0.525,0.525,0.526,0.0,0.62,1392,146,561.0,58.0,46.0,554,1056,2682.0,81,0.0,2.0,554,1054
Joe Cooper,1982,2.0,0.0,2.0,0.0,0.0,0.5,0.5,0.5,,,2,0,2.0,0.0,0.0,1,2,11.0,1,0.0,0.0,1,2
Charles Davis,1982,3.814814814814815,0.5740740740740741,2.462962962962963,0.18518518518518517,0.24074074074074073,0.478,0.478,0.484,0.0,0.811,206,31,133.0,10.0,13.0,88,184,575.0,54,0.0,2.0,88,182
Kenny Dennard,1982,5.0,1.4,4.433333333333334,1.1666666666666667,0.26666666666666666,0.512,0.512,0.512,,0.65,150,42,133.0,35.0,8.0,62,121,607.0,30,0.0,0.0,62,121
Mickey Dillard,1982,2.212121212121212,1.0303030303030303,0.45454545454545453,0.24242424242424243,0.06060606060606061,0.367,0.367,0.387,0.0,0.652,73,34,15.0,8.0,2.0,29,79,221.0,33,0.0,4.0,29,75
John Douglas,1982,6.984375,2.28125,1.40625,0.75,0.140625,0.465,0.488,0.494,0.305,0.657,447,146,90.0,48.0,9.0,181,389,1031.0,64,18.0,59.0,163,330
Craig Dykema,1982,1.34375,0.46875,0.375,0.0625,0.0,0.459,0.486,0.455,0.5,0.778,43,15,12.0,2.0,0.0,17,37,103.0,32,2.0,4.0,15,33
Franklin Edwards,1982,3.5714285714285716,1.0714285714285714,0.6428571428571429,0.38095238095238093,0.11904761904761904,0.433,0.433,0.461,0.0,0.741,150,45,27.0,16.0,5.0,65,150,291.0,42,0.0,9.0,65,141
Petur Gudmundsson,1982,3.2205882352941178,0.8676470588235294,2.735294117647059,0.19117647058823528,0.4411764705882353,0.5,0.503,0.497,1.0,0.684,219,59,186.0,13.0,30.0,83,166,845.0,68,1.0,1.0,82,165
Glenn Hagan,1982,1.75,2.0,1.0,0.75,0.0,0.429,0.429,0.429,,1.0,7,8,4.0,3.0,0.0,3,7,25.0,4,0.0,0.0,3,7
Steve Hayes,1982,4.0,0.8,3.342857142857143,0.11428571428571428,0.5714285714285714,0.486,0.486,0.486,,0.604,140,28,117.0,4.0,20.0,54,111,487.0,35,0.0,0.0,54,111
Tracy Jackson,1982,4.0,0.5510204081632653,1.2857142857142858,0.2857142857142857,0.061224489795918366,0.459,0.459,0.459,,0.776,196,27,63.0,14.0,3.0,79,172,478.0,49,0.0,0.0,79,172
Clay Johnson,1982,3.5714285714285716,1.0,1.7142857142857142,0.42857142857142855,0.42857142857142855,0.55,0.55,0.55,,0.5,25,7,12.0,3.0,3.0,11,20,65.0,7,0.0,0.0,11,20
Frank Johnson,1982,10.658227848101266,4.810126582278481,1.860759493670886,0.9620253164556962,0.08860759493670886,0.414,0.424,0.435,0.215,0.75,842,380,147.0,76.0,7.0,336,812,2027.0,79,17.0,79.0,319,733
Steve Johnson,1982,12.846153846153847,1.1666666666666667,5.884615384615385,0.5,1.141025641025641,0.613,0.613,0.613,,0.642,1002,91,459.0,39.0,89.0,395,644,1741.0,78,0.0,0.0,395,644
Albert King,1982,12.078947368421053,1.868421052631579,4.105263157894737,0.8421052631578947,0.47368421052631576,0.482,0.483,0.486,0.231,0.778,918,142,312.0,64.0,36.0,391,812,1694.0,76,3.0,13.0,388,799
Jeff Lamp,1982,4.62962962962963,0.5185185185185185,1.1851851851851851,0.2962962962962963,0.018518518518518517,0.51,0.51,0.513,0.0,0.82,250,28,64.0,16.0,1.0,100,196,617.0,54,0.0,1.0,100,195
Rock Lee,1982,1.0,1.0,0.5,0.0,0.0,0.5,0.5,0.5,,0.0,2,2,1.0,0.0,0.0,1,2,10.0,2,0.0,0.0,1,2
Alton Lister,1982,4.525,1.05,4.8375,0.225,1.475,0.519,0.519,0.519,,0.52,362,84,387.0,18.0,118.0,149,287,1186.0,80,0.0,0.0,149,287
Lewis Lloyd,1982,3.5625,0.375,1.0,0.3125,0.0625,0.556,0.556,0.556,,0.636,57,6,16.0,5.0,1.0,25,45,95.0,16,0.0,0.0,25,45
Kevin Loder,1982,6.943661971830986,1.2394366197183098,2.7464788732394365,0.49295774647887325,0.4225352112676056,0.464,0.464,0.476,0.0,0.72,493,88,195.0,35.0,30.0,208,448,1139.0,71,0.0,11.0,208,437
Rudy Macklin,1982,7.012658227848101,0.5949367088607594,3.329113924050633,0.5063291139240507,0.25316455696202533,0.434,0.434,0.437,0.0,0.775,554,47,263.0,40.0,20.0,210,484,1516.0,79,0.0,3.0,210,481
