Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%
1993,6.975457257218245,1.3528750657428377,2.9742830321572233,0.5718894468244179,0.42247644333983786,0.4404153846153846,0.4543230769230769,0.46010769230769233,0.20776923076923076,0.6767936507936507
1994,5.417869990813782,1.2563496499556703,2.590430223050089,0.5201008105943834,0.34405166180975594,0.43456944444444445,0.45073611111111117,0.44836111111111115,0.2026851851851852,0.6356470588235293
1995,5.674629548156136,1.323015670313143,2.4880192840440976,0.540014500537747,0.28751009644642794,0.4106271186440678,0.4326440677966102,0.44117241379310346,0.24308510638297873,0.6781228070175438
1996,5.13919348774099,1.0315874727937897,2.2785153290758506,0.41917104810983336,0.30193920494607496,0.42970833333333336,0.45541666666666664,0.4413611111111111,0.22148214285714288,0.6519705882352942
1997,4.796881046500266,1.0785250942580276,2.2485504281765594,0.4530514200148774,0.32362925818955535,0.4111911764705882,0.4426323529411765,0.4209117647058824,0.28875925925925927,0.6609384615384615
1998,5.1801024482688796,1.155567504062379,2.283546723502626,0.505808133433198,0.3373391132070535,0.4015873015873016,0.42238095238095236,0.41149206349206346,0.2315,0.7087931034482758
1999,4.859556203089078,0.871205819920024,2.1566840413059065,0.4132539149403354,0.2778166910097731,0.4189076923076923,0.4436615384615385,0.428375,0.26790909090909093,0.6955964912280702
2000,5.06319362463388,1.369587428296829,2.402864777480981,0.49487789852610037,0.24854316484613503,0.3912333333333333,0.41001666666666664,0.41811864406779664,0.20984444444444444,0.6743392857142857
2001,4.064336860997286,0.7635728468988544,2.0878188213139497,0.3607336160445943,0.27542982913376607,0.39325373134328356,0.409865671641791,0.40398507462686567,0.21719999999999998,0.632
2002,4.613424200297496,1.0583765243893624,2.3843707997611086,0.4370537123169528,0.38474755473183336,0.4062173913043478,0.42410144927536236,0.4282173913043478,0.19852,0.681
2003,4.706542260821048,1.021988930863419,2.2661985644121563,0.4461099698521577,0.26989718038703475,0.385655737704918,0.4132950819672131,0.402655737704918,0.26302,0.6973508771929825
2004,4.740186395561108,1.1822436241576526,2.3610474083840556,0.48950740960595723,0.23169384593449335,0.4000149253731343,0.4248507462686567,0.415955223880597,0.22820370370370371,0.6951746031746031
2005,4.5554749718049665,0.9958924195798841,2.373874144452447,0.4695739861733871,0.3020990741593433,0.4144477611940299,0.4378955223880597,0.4296716417910448,0.25435294117647056,0.6798412698412698
2006,4.2184035749764615,0.9402704525120056,2.027386575222622,0.36656767974461546,0.1890050019958164,0.4363780487804878,0.4630609756097561,0.4567439024390244,0.2652542372881356,0.7050909090909091
2007,4.1901507416448185,0.7856630861911322,2.040488501090812,0.38943511078469173,0.2238040455619626,0.4025384615384615,0.4334615384615385,0.42085897435897435,0.2722982456140351,0.6762054794520548
2008,4.946646156978515,0.8995152410537994,2.5561838265312233,0.39156598447662105,0.3157167039284008,0.41819047619047617,0.43952380952380954,0.4398888888888889,0.2234468085106383,0.6816949152542373
2009,6.098026447322365,1.119309599518658,2.754047877620704,0.4624952658351337,0.36574606885657884,0.44587096774193546,0.47435483870967743,0.46924193548387094,0.2305,0.70875
2010,6.261516084427913,1.329777742187464,2.5042493919143385,0.49484169466369493,0.24211093964437544,0.4546363636363636,0.4898363636363636,0.48096363636363637,0.30140425531914894,0.7217450980392156
2011,4.63149732104005,1.0306005361707986,2.454325095759745,0.4274810758185772,0.32157345580093183,0.4331846153846154,0.4543846153846154,0.4562307692307693,0.21793617021276596,0.6753709677419354
2012,4.853040282934733,1.1772494584263147,2.4062442154205486,0.4840447415153284,0.27954495755669345,0.40330379746835443,0.42973417721518986,0.4371898734177215,0.23223809523809524,0.675095890410959
2013,4.622804035916311,0.947935991591537,2.2483239685563796,0.38989901721783427,0.3044471175483698,0.4219078947368421,0.4559605263157895,0.44805263157894737,0.2634920634920635,0.702943661971831
2014,3.895999583123456,0.9744426030310818,1.9013677184154243,0.398243705239912,0.20227287459496554,0.38863513513513515,0.4343918918918919,0.42920270270270267,0.28850793650793655,0.7270307692307691
2015,4.520307473344827,1.0699454194448683,2.194987917423144,0.48801292494399995,0.24686596182811119,0.3897341772151899,0.4300253164556962,0.430974358974359,0.2619090909090909,0.6865138888888889
2016,4.977681609385193,1.0189320363630765,2.5763294014840046,0.4446974785630704,0.3312255454581947,0.43190140845070424,0.4756197183098591,0.4516478873239437,0.28801666666666664,0.712109375
2017,4.636697076009556,1.0293270412855757,2.222575027668045,0.38767891126782994,0.29629765960204935,0.4132045454545455,0.46148863636363635,0.4516022727272727,0.29428947368421055,0.6905595238095238
2018,6.121991784246095,1.3053302887152167,2.765802643028311,0.4960949186395519,0.2899773489313464,0.42983439490445857,0.4904394904458598,0.4862368421052632,0.30214084507042255,0.7170434782608696
2019,4.812663893355313,1.05283561117232,2.2022772495907774,0.41300219347408645,0.2577725910079709,0.40276190476190477,0.46126666666666666,0.4654653465346535,0.2786947368421053,0.6698913043478261
2020,4.928134192634836,0.9844101321961632,2.176537873285876,0.3893823217041791,0.238973279228532,0.42062393162393164,0.4730427350427351,0.49585344827586203,0.26840740740740743,0.7238543689320388
2021,5.250642161988219,1.1640513760218305,2.3260024092020206,0.42575399596224284,0.2773854020960073,0.4143510638297872,0.47695744680851065,0.48206521739130437,0.2855164835164835,0.7432758620689656
2022,10.072142650360682,2.267149725334353,4.49699899110092,0.5498524992546374,0.33480761381155255,0.4272592592592592,0.4905555555555555,0.4921538461538461,0.30666666666666664,0.7581538461538462
