Player,Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%
Alex Groza,1950,23.375,2.53125,,,,0.478,0.478,0.478,,0.729
Al Guokas,1950,3.754385964912281,1.6666666666666667,,,,0.311,0.311,0.311,,0.56
Robert Hahn,1950,1.0,0.1,,,,0.308,0.308,0.308,,0.286
Chick Halbert,1950,4.823529411764706,1.3088235294117647,,,,0.38,0.38,0.38,,0.64
Bruce Hale,1950,10.265625,3.53125,,,,0.353,0.353,0.353,,0.782
Dale Hamilton,1950,1.7857142857142858,1.2142857142857142,,,,0.242,0.242,0.242,,0.474
Alex Hannum*,1950,7.53125,2.015625,,,,0.363,0.363,0.363,,0.688
John Hargis,1950,10.716666666666667,1.7,,,,0.405,0.405,0.405,,0.711
Bob Harris,1950,7.67741935483871,2.0806451612903225,,,,0.361,0.361,0.361,,0.628
Bob Harrison,1950,4.545454545454546,1.9848484848484849,,,,0.359,0.359,0.359,,0.676
Billy Hassett,1950,4.533333333333333,2.283333333333333,,,,0.278,0.278,0.278,,0.646
Marshall Hawkins,1950,3.8974358974358974,1.3076923076923077,,,,0.282,0.282,0.282,,0.689
Bill Henry,1950,4.698412698412699,0.7619047619047619,,,,0.32,0.32,0.32,,0.67
Bill Herman,1950,4.3076923076923075,1.1538461538461537,,,,0.385,0.385,0.385,,0.545
Kleggie Hermsen,1950,8.134328358208956,1.462686567164179,,,,0.319,0.319,0.319,,0.619
Sonny Hertzberg,1950,10.191176470588236,2.9411764705882355,,,,0.318,0.318,0.318,,0.749
Paul Hoffman,1950,14.433333333333334,2.683333333333333,,,,0.341,0.341,0.341,,0.665
Joe Holland,1950,6.0625,2.03125,,,,0.32,0.32,0.32,,0.69
Red Holzman*,1950,8.176470588235293,2.9411764705882355,,,,0.33,0.33,0.33,,0.686
Gene James,1950,1.793103448275862,0.6896551724137931,,,,0.297,0.297,0.297,,0.452
Howie Janotta,1950,3.4444444444444446,0.4444444444444444,,,,0.3,0.3,0.3,,0.813
Tony Jaros,1950,3.9344262295081966,0.9836065573770492,,,,0.291,0.291,0.291,,0.75
Buddy Jeannette*,1950,5.216216216216216,2.5135135135135136,,,,0.284,0.284,0.284,,0.82
Arnie Johnson,1950,7.323529411764706,2.073529411764706,,,,0.396,0.396,0.396,,0.68
Ralph Johnson,1950,8.805970149253731,2.5522388059701493,,,,0.312,0.312,0.312,,0.806
Wah Wah,1950,12.516666666666667,3.2333333333333334,,,,0.374,0.374,0.374,,0.751
Noble Jorgensen,1950,13.037037037037036,1.6666666666666667,,,,0.353,0.353,0.353,,0.766
George Kaftan,1950,9.709090909090909,2.6363636363636362,,,,0.372,0.372,0.372,,0.654
Leo Katkaveck,1950,4.37037037037037,1.2592592592592593,,,,0.306,0.306,0.306,,0.607
Jack Kerris,1950,7.102941176470588,1.7352941176470589,,,,0.326,0.326,0.326,,0.65
Bob Kinney,1950,11.116666666666667,1.6666666666666667,,,,0.375,0.375,0.375,,0.628
Walt Kirk,1950,6.017241379310345,1.7758620689655173,,,,0.269,0.269,0.269,,0.718
Leo Klier,1950,6.893939393939394,1.8333333333333333,,,,0.304,0.304,0.304,,0.742
Duane Klueh,1950,9.134615384615385,1.75,,,,0.384,0.384,0.384,,0.707
