Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%
1994,7.965257282852498,1.8634992902657914,3.511137504480434,0.7025961696190264,0.43083298713780105,0.44089121338912135,0.45756276150627617,0.4534728033472803,0.23576063829787233,0.7006877729257642
1995,8.389032067947092,1.9507222882813706,3.5135028021826744,0.7003000665057966,0.4185854639516905,0.4375388026607539,0.46702439024390247,0.46382850779510026,0.2711317829457364,0.7204360730593607
1996,7.977406586433511,1.8622376883325045,3.427582735620652,0.666096396692743,0.4252322714751496,0.44441774491682073,0.47531053604436235,0.46397966728280965,0.2784966292134831,0.7103840304182509
1997,7.47478247161527,1.7464774503145226,3.313099211840418,0.6607424147194636,0.3876486319700126,0.42903677758318737,0.4620507880910683,0.447476357267951,0.28396746203904555,0.7083137614678899
1998,7.6852733387022605,1.8016734406944706,3.388767229963813,0.6981104067536335,0.3956526006390102,0.4291875,0.4550422794117647,0.44664889705882355,0.2476599552572707,0.7111504761904761
1999,7.166692675760236,1.6369384122268373,3.3049158329161226,0.6659034236891972,0.379250300166999,0.41148707753479125,0.4370934393638171,0.42744023904382467,0.25416666666666665,0.7042563559322034
2000,7.680505610723177,1.7759204742600436,3.4757044283146685,0.6512277699827941,0.3991472889269448,0.4273906882591093,0.4526315789473684,0.4451379310344828,0.26468101265822785,0.7288749999999999
2001,7.4179692679684175,1.7575721816715368,3.5105532169765454,0.6447139409853407,0.41934316146616474,0.42188533834586467,0.44633834586466165,0.43540037593984965,0.2597592592592593,0.715310891089109
2002,7.873674784823608,1.8474981643467039,3.534342204616824,0.6614289873098188,0.43151773665141885,0.42530181086519114,0.4519054325955735,0.44325604838709676,0.2637975308641975,0.7198456790123458
2003,7.7521442574033514,1.7932904786856771,3.526526341292281,0.6637958549479662,0.4087733415285037,0.4127448132780083,0.4382302904564315,0.4290788381742739,0.26540673575129536,0.7277075268817205
2004,7.392706215782649,1.7028400195704703,3.463750779186123,0.6430852152427162,0.408371924404303,0.41523539518900343,0.44163917525773194,0.4286494845360825,0.26727252747252744,0.7266936936936937
2005,7.777114684390999,1.7359890737053274,3.4292708046841924,0.6278206963769372,0.38708427800790185,0.4267495711835334,0.45730874785591763,0.4430308747855917,0.26944444444444443,0.7247767857142857
2006,7.647949687223918,1.613390757431082,3.323787890807407,0.5809957870991704,0.36304764848714927,0.43401431127012524,0.46348300536672626,0.4536397849462366,0.2722239819004525,0.7103780260707635
2007,8.084763831877833,1.7978063483969369,3.403218216639986,0.6141162507291235,0.3688171250304231,0.4326471734892788,0.4664795321637427,0.45346771037182,0.2741566265060241,0.724264
2008,7.55081929986281,1.6880060525580403,3.3663922854348254,0.5753927316591234,0.3947911869477521,0.4335059021922429,0.4680843170320405,0.45521283783783784,0.26864718162839246,0.7148389380530974
2009,8.035753869396807,1.6822342929565834,3.4434380972806817,0.5933484494619207,0.3950465315348563,0.44125086505190314,0.477955017301038,0.4613916811091855,0.2925520833333334,0.7294676258992806
2010,8.048225173476238,1.6889768000185752,3.458195000944768,0.6045534187584922,0.4027565659204902,0.441784347826087,0.47693739130434776,0.46945375218150087,0.2685567010309278,0.7126391382405745
2011,7.829512329598331,1.7313133307700812,3.347858784205132,0.5971616932026084,0.39401187543499994,0.438104501607717,0.47555787781350484,0.46153623188405796,0.2822373540856031,0.7184496644295303
2012,7.702501448601328,1.7157010324017465,3.5028270896362517,0.6440779466025864,0.4279821950397859,0.43128130671506354,0.4659546279491833,0.45807622504537204,0.2712898230088496,0.7170171102661597
2013,7.430189485634082,1.7321894008318588,3.315158322296288,0.6051699174797374,0.3892381574805771,0.4264534270650263,0.4659420035149385,0.45365202108963093,0.2822991631799163,0.7109437386569873
2014,7.546175613914971,1.678433602686373,3.3175864053699327,0.596687863973103,0.3622206392939189,0.4300082781456954,0.47408940397350996,0.4619136212624585,0.2897359223300971,0.7176044905008635
2015,7.794814813415215,1.812807761822843,3.35134998641405,0.6321086663824083,0.358145740903999,0.4274036979969183,0.4728166409861325,0.46136939721792897,0.2864543859649123,0.722800319488818
2016,7.91072367568203,1.7789108384946275,3.4173101263385193,0.625585014057225,0.38162404468391076,0.44251130434782604,0.4908904347826087,0.4779754385964913,0.2976475095785441,0.7398772563176895
2017,8.184534418543327,1.7526844203328968,3.4894517344684854,0.6084794272020558,0.38932172858696307,0.4412495784148398,0.49448060708263064,0.4864525423728814,0.3011475409836066,0.7376374781085814
2018,7.893102626748166,1.7427350377874962,3.257751522240654,0.597481912190156,0.3491898258080546,0.4413590909090909,0.4979969696969697,0.49308823529411766,0.30997495826377297,0.7410577557755775
2019,8.382819927173747,1.8306575084895536,3.55722689940538,0.608143901410625,0.3687249714144866,0.4373005698005698,0.5002336182336182,0.4923160173160173,0.31504538577912256,0.7396285714285714
2020,8.461040639500819,1.8391246100707592,3.5598605783247095,0.6146164071110041,0.3957468467783895,0.4428906009244992,0.5067041602465331,0.507446511627907,0.3134383116883117,0.7437686084142395
2021,8.614466041211857,1.9318225742635389,3.577024556030028,0.6114680003118528,0.41266948580783,0.44348648648648653,0.5089018492176387,0.506761087267525,0.3145417910447761,0.7518934911242603
2022,8.614466041211857,1.9318225742635389,3.577024556030028,0.6114680003118528,0.41266948580783,0.44348648648648653,0.5089018492176387,0.506761087267525,0.3145417910447761,0.7518934911242603
